Case,Model,Load path,Metric,Reference protocol,Candidate protocol,Reference mean,Candidate mean,Mean drop,Mean drop %,Mean improved,Reference median,Candidate median,Median drop,Median drop %,Median improved
curved_hole_18x14,hgo_qp_thermo_hard,cyclic,qp_history_increment_relative_l2,strict,upper_bound,1.00016,1,0.00016,0.016,yes,1.00012,1.00011,1e-05,0.001,yes
curved_hole_18x14,hgo_qp_thermo_hard,cyclic,qp_history_relative_l2,strict,curriculum,2.00318,1.94659,0.05659,2.825,yes,2.08171,2.07822,0.00349,0.168,yes
curved_hole_18x14,hgo_qp_thermo_hard,cyclic,qp_history_relative_l2,strict,upper_bound,2.00318,2.0713,-0.06812,-3.401,no,2.08171,2.08173,-2e-05,-0.001,no
curved_hole_18x14,hgo_qp_thermo_hard,nonproportional,qp_history_increment_relative_l2,strict,curriculum,1.00036,1.10589,-0.10553,-10.549,no,1.00011,1.00054,-0.00043,-0.043,no
curved_hole_18x14,hgo_qp_thermo_hard,nonproportional,qp_history_increment_relative_l2,strict,upper_bound,1.00036,1.00487,-0.00451,-0.451,no,1.00011,1.00005,6e-05,0.006,yes
curved_hole_18x14,hgo_qp_thermo_hard,nonproportional,qp_history_relative_l2,strict,curriculum,2.0688,2.00527,0.06353,3.071,yes,2.15651,2.15313,0.00338,0.157,yes
curved_hole_18x14,hgo_qp_thermo_hard,nonproportional,qp_history_relative_l2,strict,upper_bound,2.0688,2.14654,-0.07774,-3.758,no,2.15651,2.15653,-2e-05,-0.001,no
curved_hole_18x14,hgo_qp_thermo_hard,unload_reload,qp_history_increment_relative_l2,strict,curriculum,1.00027,1.0946,-0.09433,-9.430,no,0.999968,1.00043,-0.000462,-0.046,no
curved_hole_18x14,hgo_qp_thermo_hard,unload_reload,qp_history_increment_relative_l2,strict,upper_bound,1.00027,1.00387,-0.0036,-0.360,no,0.999968,0.99997,-2e-06,-0.000,no
curved_hole_18x14,hgo_qp_thermo_hard,unload_reload,qp_history_relative_l2,strict,curriculum,2.4124,2.34026,0.07214,2.990,yes,2.51186,2.50776,0.0041,0.163,yes
curved_hole_18x14,hgo_qp_thermo_hard,unload_reload,qp_history_relative_l2,strict,upper_bound,2.4124,2.50004,-0.08764,-3.633,no,2.51186,2.51189,-3e-05,-0.001,no
curved_hole_20x15,hgo_qp_thermo_hard,cyclic,qp_history_increment_relative_l2,strict,curriculum,1.04623,1.0467,-0.00047,-0.045,no,1.00015,1.00014,1e-05,0.001,yes
curved_hole_20x15,hgo_qp_thermo_hard,cyclic,qp_history_increment_relative_l2,strict,upper_bound,1.04623,1.00015,0.04608,4.404,yes,1.00015,1.00014,1e-05,0.001,yes
curved_hole_20x15,hgo_qp_thermo_hard,cyclic,qp_history_relative_l2,strict,curriculum,1.70573,1.70573,0,0.000,no,1.813,1.81311,-0.00011,-0.006,no
curved_hole_20x15,hgo_qp_thermo_hard,cyclic,qp_history_relative_l2,strict,upper_bound,1.70573,1.81548,-0.10975,-6.434,no,1.813,1.81541,-0.00241,-0.133,no
curved_hole_20x15,hgo_qp_thermo_hard,nonproportional,qp_history_increment_relative_l2,strict,curriculum,1.12716,1.1282,-0.00104,-0.092,no,1.00015,1.00013,2e-05,0.002,yes
