Ablation,Ablation id,Solver mode,Newton damping,Newton steps,Line search,Regularization,Model,Load path,Metric,Metric label,Case mean,Case std,Case median,Case IQR,Cases,Case list
Multi-step damped Newton,multi_step_damped_newton,dense_newton,0.5,3,False,1e-06,hgo_qp_true_j2,nonproportional,fem_newton_step_residual_decrease_fraction,Newton step residual decrease,0.499999,0,0.499999,5e-07,3,"curved_hole_14x11,multi_hole_14x11,notch_14x11"
Multi-step damped Newton,multi_step_damped_newton,dense_newton,0.5,3,False,1e-06,hgo_qp_true_j2,nonproportional,fem_residual_relative_rms,FEM residual rel RMS,9.8395,3.59152,8.12146,2.51219,3,"curved_hole_14x11,multi_hole_14x11,notch_14x11"
Multi-step damped Newton,multi_step_damped_newton,dense_newton,0.5,3,False,1e-06,hgo_qp_true_j2,nonproportional,fem_solver_linearized_residual_relative_rms,FEM tangent-solver rel RMS,67.9068,17.1693,50.3666,17.1047,3,"curved_hole_14x11,multi_hole_14x11,notch_14x11"
Multi-step damped Newton,multi_step_damped_newton,dense_newton,0.5,3,False,1e-06,hgo_qp_true_j2,nonproportional,qp_history_increment_relative_l2,QP history-inc rel L2,2.38683,0.662128,3.02695,1.09069,3,"curved_hole_14x11,multi_hole_14x11,notch_14x11"
Multi-step damped Newton,multi_step_damped_newton,dense_newton,0.5,3,False,1e-06,hgo_qp_true_j2,nonproportional,qp_history_relative_l2,QP history rel L2,1.34428,0.059905,1.41717,0.10508,3,"curved_hole_14x11,multi_hole_14x11,notch_14x11"
Multi-step damped Newton,multi_step_damped_newton,dense_newton,0.5,3,False,1e-06,hgo_qp_true_j2,unload_reload,displacement_relative_l2,rollout disp rel L2,84.963,14.7503,71.581,18.4025,3,"curved_hole_14x11,multi_hole_14x11,notch_14x11"
Multi-step damped Newton,multi_step_damped_newton,dense_newton,0.5,3,False,1e-06,hgo_qp_true_j2,unload_reload,fem_energy_relative_error,FEM energy rel err,34.5108,5.40498,23.6821,12.2393,3,"curved_hole_14x11,multi_hole_14x11,notch_14x11"
Multi-step damped Newton,multi_step_damped_newton,dense_newton,0.5,3,False,1e-06,hgo_qp_true_j2,unload_reload,fem_newton_accepted_damping,Newton accepted damping,0.5,0,0.5,0,3,"curved_hole_14x11,multi_hole_14x11,notch_14x11"
Multi-step damped Newton,multi_step_damped_newton,dense_newton,0.5,3,False,1e-06,hgo_qp_true_j2,unload_reload,fem_newton_convergence_rate,Newton convergence rate,0,0,0,0,3,"curved_hole_14x11,multi_hole_14x11,notch_14x11"
Multi-step damped Newton,multi_step_damped_newton,dense_newton,0.5,3,False,1e-06,hgo_qp_true_j2,unload_reload,fem_newton_correction_relative_norm,Newton correction rel norm,2.04766,1.20882,1.05621,0.146805,3,"curved_hole_14x11,multi_hole_14x11,notch_14x11"
Multi-step damped Newton,multi_step_damped_newton,dense_newton,0.5,3,False,1e-06,hgo_qp_true_j2,unload_reload,fem_newton_failure_rate,Newton failure rate,0,0,0,0,3,"curved_hole_14x11,multi_hole_14x11,notch_14x11"
Multi-step damped Newton,multi_step_damped_newton,dense_newton,0.5,3,False,1e-06,hgo_qp_true_j2,unload_reload,fem_newton_final_residual_relative_rms,Newton final residual rel RMS,1.36344,0.464553,1.09567,0.305685,3,"curved_hole_14x11,multi_hole_14x11,notch_14x11"
Multi-step damped Newton,multi_step_damped_newton,dense_newton,0.5,3,False,1e-06,hgo_qp_true_j2,unload_reload,fem_newton_initial_residual_relative_rms,Newton initial residual rel RMS,10.9074,3.71641,8.76533,2.44551,3,"curved_hole_14x11,multi_hole_14x11,notch_14x11"
Multi-step damped Newton,multi_step_damped_newton,dense_newton,0.5,3,False,1e-06,hgo_qp_true_j2,unload_reload,fem_newton_residual_decrease_fraction,Newton residual decrease,0.875,5.7735e-07,0.875,0,3,"curved_hole_14x11,multi_hole_14x11,notch_14x11"
Multi-step damped Newton,multi_step_damped_newton,dense_newton,0.5,3,False,1e-06,hgo_qp_true_j2,unload_reload,fem_newton_residual_ratio,Newton residual ratio,0.125,5.7735e-07,0.125,0,3,"curved_hole_14x11,multi_hole_14x11,notch_14x11"
Multi-step damped Newton,multi_step_damped_newton,dense_newton,0.5,3,False,1e-06,hgo_qp_true_j2,unload_reload,fem_newton_step_residual_decrease_fraction,Newton step residual decrease,0.499999,0,0.499999,0,3,"curved_hole_14x11,multi_hole_14x11,notch_14x11"
Multi-step damped Newton,multi_step_damped_newton,dense_newton,0.5,3,False,1e-06,hgo_qp_true_j2,unload_reload,fem_residual_relative_rms,FEM residual rel RMS,11.4366,4.18869,9.41977,2.9026,3,"curved_hole_14x11,multi_hole_14x11,notch_14x11"
Multi-step damped Newton,multi_step_damped_newton,dense_newton,0.5,3,False,1e-06,hgo_qp_true_j2,unload_reload,fem_solver_linearized_residual_relative_rms,FEM tangent-solver rel RMS,79.699,15.2147,64.8108,18.3097,3,"curved_hole_14x11,multi_hole_14x11,notch_14x11"
Multi-step damped Newton,multi_step_damped_newton,dense_newton,0.5,3,False,1e-06,hgo_qp_true_j2,unload_reload,qp_history_increment_relative_l2,QP history-inc rel L2,2.28373,0.484855,2.71921,0.972515,3,"curved_hole_14x11,multi_hole_14x11,notch_14x11"
Multi-step damped Newton,multi_step_damped_newton,dense_newton,0.5,3,False,1e-06,hgo_qp_true_j2,unload_reload,qp_history_relative_l2,QP history rel L2,1.58081,0.0779008,1.72474,0.11,3,"curved_hole_14x11,multi_hole_14x11,notch_14x11"
Multi-step line-search Newton,multi_step_line_search_newton,dense_newton,1.0,3,True,1e-06,hgo_qp_true_j2,cyclic,displacement_relative_l2,rollout disp rel L2,108.312,66.6046,80.9752,64.3455,3,"curved_hole_14x11,multi_hole_14x11,notch_14x11"
Multi-step line-search Newton,multi_step_line_search_newton,dense_newton,1.0,3,True,1e-06,hgo_qp_true_j2,cyclic,fem_energy_relative_error,FEM energy rel err,226.338,90.4268,194.55,117.782,3,"curved_hole_14x11,multi_hole_14x11,notch_14x11"
