Ablation,Ablation id,Solver mode,Newton damping,Newton steps,Line search,Regularization,Model,Load path,Metric,Metric label,Mean,Std,Median,IQR,Seeds,Source
No solver loss,no_solver_loss,dense_newton,1.0,1,False,1e-06,hgo_qp_true_j2,monotonic,fem_newton_initial_residual_relative_rms,Newton initial residual rel RMS,9.59892,5.68897,8.17282,10.4204,5,<project-root>\10_results\reports\solver_in_loop_formal_main\notch_14x11\arms\no_solver_loss\summary.json
No solver loss,no_solver_loss,dense_newton,1.0,1,False,1e-06,hgo_qp_true_j2,monotonic,fem_newton_final_residual_relative_rms,Newton final residual rel RMS,0.000332936,0.000223521,0.000298321,0.00019743,5,<project-root>\10_results\reports\solver_in_loop_formal_main\notch_14x11\arms\no_solver_loss\summary.json
No solver loss,no_solver_loss,dense_newton,1.0,1,False,1e-06,hgo_qp_true_j2,monotonic,fem_newton_residual_ratio,Newton residual ratio,4.22529e-05,4.39375e-05,2.43629e-05,7.50462e-06,5,<project-root>\10_results\reports\solver_in_loop_formal_main\notch_14x11\arms\no_solver_loss\summary.json
No solver loss,no_solver_loss,dense_newton,1.0,1,False,1e-06,hgo_qp_true_j2,monotonic,fem_newton_residual_decrease_fraction,Newton residual decrease,0.999958,4.39432e-05,0.999976,7.56979e-06,5,<project-root>\10_results\reports\solver_in_loop_formal_main\notch_14x11\arms\no_solver_loss\summary.json
No solver loss,no_solver_loss,dense_newton,1.0,1,False,1e-06,hgo_qp_true_j2,monotonic,fem_newton_step_residual_decrease_fraction,Newton step residual decrease,0.999958,4.39432e-05,0.999976,7.56979e-06,5,<project-root>\10_results\reports\solver_in_loop_formal_main\notch_14x11\arms\no_solver_loss\summary.json
No solver loss,no_solver_loss,dense_newton,1.0,1,False,1e-06,hgo_qp_true_j2,monotonic,fem_newton_step1_residual_ratio,Newton step1 residual ratio,4.22529e-05,4.39375e-05,2.43629e-05,7.50462e-06,5,<project-root>\10_results\reports\solver_in_loop_formal_main\notch_14x11\arms\no_solver_loss\summary.json
No solver loss,no_solver_loss,dense_newton,1.0,1,False,1e-06,hgo_qp_true_j2,monotonic,fem_newton_step1_residual_decrease_fraction,Newton step1 residual decrease,0.999958,4.39432e-05,0.999976,7.56979e-06,5,<project-root>\10_results\reports\solver_in_loop_formal_main\notch_14x11\arms\no_solver_loss\summary.json
No solver loss,no_solver_loss,dense_newton,1.0,1,False,1e-06,hgo_qp_true_j2,monotonic,fem_newton_correction_relative_norm,Newton correction rel norm,2.48036,2.04708,2.14256,1.33132,5,<project-root>\10_results\reports\solver_in_loop_formal_main\notch_14x11\arms\no_solver_loss\summary.json
No solver loss,no_solver_loss,dense_newton,1.0,1,False,1e-06,hgo_qp_true_j2,monotonic,fem_newton_accepted_damping,Newton accepted damping,1,0,1,0,5,<project-root>\10_results\reports\solver_in_loop_formal_main\notch_14x11\arms\no_solver_loss\summary.json
No solver loss,no_solver_loss,dense_newton,1.0,1,False,1e-06,hgo_qp_true_j2,monotonic,fem_newton_convergence_rate,Newton convergence rate,1,0,1,0,5,<project-root>\10_results\reports\solver_in_loop_formal_main\notch_14x11\arms\no_solver_loss\summary.json
No solver loss,no_solver_loss,dense_newton,1.0,1,False,1e-06,hgo_qp_true_j2,monotonic,fem_newton_failure_rate,Newton failure rate,0,0,0,0,5,<project-root>\10_results\reports\solver_in_loop_formal_main\notch_14x11\arms\no_solver_loss\summary.json
No solver loss,no_solver_loss,dense_newton,1.0,1,False,1e-06,hgo_qp_true_j2,nonproportional,displacement_relative_l2,rollout disp rel L2,118.553,89.8485,104.369,53.1564,5,<project-root>\10_results\reports\solver_in_loop_formal_main\notch_14x11\arms\no_solver_loss\summary.json
No solver loss,no_solver_loss,dense_newton,1.0,1,False,1e-06,hgo_qp_true_j2,nonproportional,final_displacement_relative_l2,final disp rel L2,161.242,121.863,141.735,74.5012,5,<project-root>\10_results\reports\solver_in_loop_formal_main\notch_14x11\arms\no_solver_loss\summary.json
No solver loss,no_solver_loss,dense_newton,1.0,1,False,1e-06,hgo_qp_true_j2,nonproportional,qp_history_relative_l2,QP history rel L2,1.42269,0.276041,1.38718,0.366279,5,<project-root>\10_results\reports\solver_in_loop_formal_main\notch_14x11\arms\no_solver_loss\summary.json
No solver loss,no_solver_loss,dense_newton,1.0,1,False,1e-06,hgo_qp_true_j2,nonproportional,qp_history_increment_relative_l2,QP history-inc rel L2,2.06285,0.559028,2.18047,0.225033,5,<project-root>\10_results\reports\solver_in_loop_formal_main\notch_14x11\arms\no_solver_loss\summary.json
No solver loss,no_solver_loss,dense_newton,1.0,1,False,1e-06,hgo_qp_true_j2,nonproportional,qp_reversal_eqp_increment_relative_l2,QP reversal eqp-inc rel L2,0,0,0,0,5,<project-root>\10_results\reports\solver_in_loop_formal_main\notch_14x11\arms\no_solver_loss\summary.json
No solver loss,no_solver_loss,dense_newton,1.0,1,False,1e-06,hgo_qp_true_j2,nonproportional,qp_reversal_plastic_work_increment_relative_l2,QP reversal work-inc rel L2,0,0,0,0,5,<project-root>\10_results\reports\solver_in_loop_formal_main\notch_14x11\arms\no_solver_loss\summary.json
No solver loss,no_solver_loss,dense_newton,1.0,1,False,1e-06,hgo_qp_true_j2,nonproportional,qp_reversal_yield_flag_mae,QP reversal yield MAE,0,0,0,0,5,<project-root>\10_results\reports\solver_in_loop_formal_main\notch_14x11\arms\no_solver_loss\summary.json
No solver loss,no_solver_loss,dense_newton,1.0,1,False,1e-06,hgo_qp_true_j2,nonproportional,fem_residual_relative_rms,FEM residual rel RMS,7.87038,4.69475,6.57605,8.56728,5,<project-root>\10_results\reports\solver_in_loop_formal_main\notch_14x11\arms\no_solver_loss\summary.json
No solver loss,no_solver_loss,dense_newton,1.0,1,False,1e-06,hgo_qp_true_j2,nonproportional,fem_energy_relative_error,FEM energy rel err,55.6153,51.3099,30.4751,40.0243,5,<project-root>\10_results\reports\solver_in_loop_formal_main\notch_14x11\arms\no_solver_loss\summary.json
No solver loss,no_solver_loss,dense_newton,1.0,1,False,1e-06,hgo_qp_true_j2,nonproportional,fem_solver_linearized_residual_relative_rms,FEM tangent-solver rel RMS,110.048,83.2524,95.0322,48.1478,5,<project-root>\10_results\reports\solver_in_loop_formal_main\notch_14x11\arms\no_solver_loss\summary.json
