Ablation,Ablation id,Solver mode,Newton damping,Newton steps,Line search,Regularization,Model,Load path,Metric,Metric label,Mean,Std,Median,IQR,Seeds,Source
No solver loss,no_solver_loss,dense_newton,1.0,1,False,1e-06,hgo_qp_true_j2,monotonic,fem_newton_residual_ratio,Newton residual ratio,2.64746e-05,1.74701e-05,2.70822e-05,1.67409e-05,5,<project-root>\10_results\reports\solver_in_loop_formal_main\multi_hole_14x11\arms\no_solver_loss\summary.json
No solver loss,no_solver_loss,dense_newton,1.0,1,False,1e-06,hgo_qp_true_j2,monotonic,fem_newton_residual_decrease_fraction,Newton residual decrease,0.999974,1.74588e-05,0.999973,1.67489e-05,5,<project-root>\10_results\reports\solver_in_loop_formal_main\multi_hole_14x11\arms\no_solver_loss\summary.json
No solver loss,no_solver_loss,dense_newton,1.0,1,False,1e-06,hgo_qp_true_j2,monotonic,fem_newton_step_residual_decrease_fraction,Newton step residual decrease,0.999974,1.74588e-05,0.999973,1.67489e-05,5,<project-root>\10_results\reports\solver_in_loop_formal_main\multi_hole_14x11\arms\no_solver_loss\summary.json
No solver loss,no_solver_loss,dense_newton,1.0,1,False,1e-06,hgo_qp_true_j2,monotonic,fem_newton_step1_residual_ratio,Newton step1 residual ratio,2.64746e-05,1.74701e-05,2.70822e-05,1.67409e-05,5,<project-root>\10_results\reports\solver_in_loop_formal_main\multi_hole_14x11\arms\no_solver_loss\summary.json
No solver loss,no_solver_loss,dense_newton,1.0,1,False,1e-06,hgo_qp_true_j2,monotonic,fem_newton_step1_residual_decrease_fraction,Newton step1 residual decrease,0.999974,1.74588e-05,0.999973,1.67489e-05,5,<project-root>\10_results\reports\solver_in_loop_formal_main\multi_hole_14x11\arms\no_solver_loss\summary.json
No solver loss,no_solver_loss,dense_newton,1.0,1,False,1e-06,hgo_qp_true_j2,monotonic,fem_newton_correction_relative_norm,Newton correction rel norm,1.38738,1.42655,0.827043,0.361074,5,<project-root>\10_results\reports\solver_in_loop_formal_main\multi_hole_14x11\arms\no_solver_loss\summary.json
No solver loss,no_solver_loss,dense_newton,1.0,1,False,1e-06,hgo_qp_true_j2,monotonic,fem_newton_accepted_damping,Newton accepted damping,1,0,1,0,5,<project-root>\10_results\reports\solver_in_loop_formal_main\multi_hole_14x11\arms\no_solver_loss\summary.json
No solver loss,no_solver_loss,dense_newton,1.0,1,False,1e-06,hgo_qp_true_j2,monotonic,fem_newton_convergence_rate,Newton convergence rate,1,0,1,0,5,<project-root>\10_results\reports\solver_in_loop_formal_main\multi_hole_14x11\arms\no_solver_loss\summary.json
No solver loss,no_solver_loss,dense_newton,1.0,1,False,1e-06,hgo_qp_true_j2,monotonic,fem_newton_failure_rate,Newton failure rate,0,0,0,0,5,<project-root>\10_results\reports\solver_in_loop_formal_main\multi_hole_14x11\arms\no_solver_loss\summary.json
No solver loss,no_solver_loss,dense_newton,1.0,1,False,1e-06,hgo_qp_true_j2,nonproportional,displacement_relative_l2,rollout disp rel L2,49.1891,33.3468,25.8281,65.5441,5,<project-root>\10_results\reports\solver_in_loop_formal_main\multi_hole_14x11\arms\no_solver_loss\summary.json
