Model,Metric,Mean,Std,Median,Q1,Q3,IQR,Min,Max,N
HistoryGNO data-only,Plastic-work inc. rel. L2,23562.2,7815.23,25435.9,24246.2,29691.3,5445.14,8586.01,29851.7,5
HistoryGNO data-only,Reversal hist-inc. rel. L2,4.59477,0.665038,4.29359,4.2348,4.57364,0.33884,3.99839,5.87343,5
HistoryGNO data-only,Reversal yield-flag MAE,0.498932,0.00300562,0.498407,0.497146,0.500096,0.00295049,0.49505,0.50396,5
HistoryGNO data-only,Yield-surface RMS,0.46653,0.0300327,0.476784,0.441423,0.488123,0.0467002,0.42263,0.503689,5
HistoryGNO data-only,Plastic-work violation abs.,3.47149,2.50437,1.71436,1.45827,6.48885,5.03059,1.12485,6.57111,5
HistoryGNO data-only,Plastic-work violation target-norm.,129588,93485.9,63995.5,54435.8,242223,187787,41989.8,245294,5
HistoryGNO data-only,Plastic-work violation pred-norm.,8.52047,10.1362,2.51592,2.2451,8.21696,5.97186,1.41419,28.2102,5
HANO-window recent-history NO,Cyclic disp. rel. L2,346.326,112.596,319.217,310.528,393.625,83.0966,182.353,525.906,5
HANO-window recent-history NO,Cyclic history rel. L2,2.84371,1.18948,3.18714,2.12182,3.69124,1.56943,0.934812,4.28353,5
HANO-window recent-history NO,History-increment rel. L2,1.0085,0.00663518,1.00712,1.00663,1.00983,0.00320613,0.999182,1.01973,5
HANO-window recent-history NO,Eqp increment rel. L2,217.297,106.705,215.683,175.268,280.148,104.881,47.9647,367.422,5
HANO-window recent-history NO,Plastic-work inc. rel. L2,312.403,183.929,290.126,114.303,519.613,405.31,111.155,526.816,5
HANO-window recent-history NO,Reversal hist-inc. rel. L2,1.03009,0.0248822,1.0242,1.01531,1.0388,0.0234919,0.999373,1.07279,5
HANO-window recent-history NO,Reversal yield-flag MAE,0.524697,0.0124942,0.51921,0.516973,0.535237,0.0182637,0.50906,0.543005,5
HANO-window recent-history NO,Yield-surface RMS,0.37041,0.426705,0.217324,0.0744711,0.36859,0.294119,0.005181,1.18648,5
HANO-window recent-history NO,Plastic-work violation abs.,0.020757,0.0170631,0.0135572,0.0111993,0.0300792,0.0188799,0,0.0489494,5
