seed,load_path,sparse_observation_relative_l2,rollout_displacement_relative_l2,material_parameter_relative_l2,material_parameter_mae,material_parameter_coverage_95,material_parameter_ece,material_parameter_nll,material_parameter_posterior_std,calibrated_material_parameter_coverage_95,calibrated_material_parameter_ece,calibrated_material_parameter_nll,calibrated_material_parameter_spread_scale,calibrated_material_parameter_posterior_std,history_relative_l2,history_final_relative_l2,history_coverage_95,history_ece,history_nll,history_posterior_std,calibrated_history_coverage_95,calibrated_history_ece,calibrated_history_nll,calibrated_history_spread_scale,calibrated_history_posterior_std,field_coverage_95,field_ece,field_nll,field_crps,field_sharpness,field_interval_width_95,calibrated_field_coverage_95,calibrated_field_ece,calibrated_field_nll,calibrated_field_crps,calibrated_field_sharpness,calibrated_field_interval_width_95,calibrated_field_spread_scale,posterior_calibration_num_calibration,posterior_calibration_num_test,inversion_final_loss
20260517,random_amplitude,18.75370598,0.8098669648,0.3128005862,5.919686794,0.02083333395,0.7718750238,9933.871094,0.09504892677,1,0.212500006,1.461538672,326.4460144,52.53794098,0.8231975436,0.6489705443,0.04275793582,0.7462053299,232731.0469,0.00165254937,0.8187500238,0.1119295508,1580.445312,10000,11.37199402,0.00048828125,0.787011683,64664.25,0.02530151606,2.649384987e-05,7.577588258e-05,0.7288411856,0.147200495,5.022271633,0.02503411472,0.05289398879,0.1513734013,2740.162598,4,4,1889.540039
20260518,random_amplitude,109.0121231,2.710548639,0.09317518026,1.683693647,0.02083333395,0.7822916508,6459.166992,0.1452455968,0.9166666865,0.07291667163,0.4012420177,162.0367126,39.34207153,0.7267345786,0.7186143398,0.06850198656,0.7198784351,168535.375,0.001018484589,0.8279762268,0.09729661047,2959.176758,10000,14.10793018,0,0.7874999642,724923.125,0.0826112628,1.957136919e-05,5.371859879e-05,0.8017578125,0.09568682313,-0.500970006,0.1067266688,0.2790744305,0.7447655201,10000,4,4,21132.03125
20260519,random_amplitude,3.817082405,0.9414088726,0.2507123947,4.473433971,0.0625,0.7302082777,19180.46484,0.579857111,0.8333333731,0.1062499881,1.696759224,165.3156586,5.324055672,0.8540300727,0.6630386114,0.06671626866,0.721626997,253799.0938,0.004770101048,0.7923611403,0.1323660612,4594.333984,10000,10.69647026,0.01236979198,0.775333643,79235,0.02774069831,0.0001705597824,0.0003595162998,0.8772786856,0.1144693941,-0.7153511047,0.03602355719,0.1027137265,0.3039088845,10000,4,4,231.3063049
20260520,random_amplitude,5.711045265,0.881078124,0.2332375348,3.656843185,0.02083333395,0.7718750238,12484.61133,0.04419317469,0.8333333731,0.06874997914,1.483377814,132.0427704,2.167072058,0.7810224295,0.7732393146,0.07921627164,0.7115079165,347988.875,0.001295295195,0.8375992179,0.09903271496,3542.459229,10000,16.78772736,0.0008138021221,0.7868896723,76708.44531,0.02654536627,9.700503142e-06,2.93772955e-05,0.8138021231,0.106998682,-0.3649260998,0.0530468449,0.1661328375,0.5049702525,10000,4,4,439.3875732
20260521,random_amplitude,2.930473089,1.455107093,0.3894356489,7.69174099,0.02083333395,0.7718750238,22847.66211,0.0197150819,0.9583333731,0.0979167074,0.8287944794,353.6810913,6.596819878,0.9072687626,0.2418848127,0.01393849216,0.7752108574,2007714.125,0.00127974723,0.8936508298,0.1012152582,1368.136963,10000,14.9400301,0.0001627604215,0.7873779535,184578.3438,0.05078517646,4.470158456e-05,0.0001291692606,0.951171875,0.1243652552,-0.5236008167,0.08388762176,0.3045876324,0.9469916224,7065.026367,4,4,2966.561523
20260517,unload_reload,3.146986961,0.8057892323,0.3064873517,5.581525326,0,0.7874999642,5602.104492,0.07268273085,0.9583333731,0.1187500358,0.7622976303,189.123764,8.834041595,0.8137944937,0.6564152241,0.05551758036,0.7336304188,445251.2188,0.0007580197416,0.8561523557,0.1124023497,3593.877686,10000,9.717232704,0.00146484375,0.7862792611,40048.59766,0.01977449656,2.346819929e-05,6.977860176e-05,0.9869791865,0.1871093959,-0.648370266,0.0768494159,0.2891961336,0.8845534325,9668.405273,4,4,655.260437
20260518,unload_reload,5.314743996,3.51756382,0.1017033458,1.999984741,0,0.7874999642,247881.3438,0.0243765004,1,0.212500006,2.793548584,2909.199219,83.62325287,0.6544023752,0.7478156686,0.07949218899,0.7089477181,114102.3281,0.0006337112864,0.8022460938,0.1281249821,1734.786011,10000,6.479255676,0,0.7874999642,786001.1875,0.08608306944,8.17219734e-06,2.33740775e-05,0.69921875,0.1917968541,-0.8121666312,0.06398906559,0.08524229378,0.2470605373,10000,4,4,21220.14258
20260519,unload_reload,2.839539289,0.8787936568,0.3485639095,6.589241028,0.02083333395,0.7666666508,18889.3125,0.5514974594,1,0.1500000209,2.007392406,478.2995605,14.36847973,0.977004528,0.5161012411,0.07866211236,0.7117919922,523999.9062,0.007058698218,0.824316442,0.1091064215,6911.718262,10000,41.29571533,0.02099609375,0.7668700814,46712.89844,0.0197147727,0.0001719416759,0.000383957231,0.658203125,0.1792643219,29.23176575,0.02336685732,0.0325493291,0.09292244166,947.4005737,4,4,547.4124756
20260520,unload_reload,3278022912,0.8611944318,0.2458172292,3.988571882,0,0.7874999642,15003.94824,0.05491710454,1,0.2020833492,2.230924129,846.7613525,67.86332703,0.7553371787,0.7749980688,0.08920898288,0.7005615234,600704.3125,0.001537104719,0.8055664301,0.11870116,1108.096191,10000,9.270846367,0.00146484375,0.7863606811,47105.28906,0.01964700222,1.186429108e-05,3.386722165e-05,0.734049499,0.1386555731,-1.30336833,0.02066880837,0.03067441843,0.09224881977,9412.579102,4,4,344.739502
20260521,unload_reload,7313772032,1.539854884,0.3961726427,7.663392544,0,0.7874999642,33778.15234,0.01934498549,1,0.1604166776,1.212531567,587.5858765,12.41580486,0.9055583477,0.2032034248,0.008154297248,0.7801758051,3264971.75,0.0004294080718,0.8388671875,0.1097167879,1920.233398,10000,5.511020184,0.00048828125,0.7870930433,141267.3438,0.04211008549,3.847875632e-05,0.0001147440344,0.9088541865,0.09843748808,-0.8243798018,0.04807811975,0.1333229989,0.3915042877,3197.556641,4,4,1273.74231
