load_path,metric,stat,recomputed_from_seed_json,summary_json,abs_diff,pass
pre_stress,field_coverage_95,iqr,0.00130208331393,0.00130208331393,0.000e+00,True
pre_stress,calibrated_field_coverage_95,mean,0.95052087307,0.95052087307,0.000e+00,True
pre_stress,calibrated_field_coverage_95,std,0,0,0.000e+00,True
pre_stress,calibrated_field_coverage_95,median,0.95052087307,0.95052087307,0.000e+00,True
pre_stress,calibrated_field_coverage_95,iqr,0,0,0.000e+00,True
pre_stress,field_ece,mean,0.785677069426,0.785677069426,0.000e+00,True
pre_stress,field_ece,std,0.00169692005562,0.00169692005562,2.168e-19,True
pre_stress,field_ece,median,0.785709619522,0.785709619522,0.000e+00,True
pre_stress,field_ece,iqr,0.000813871622086,0.000813871622086,0.000e+00,True
pre_stress,calibrated_field_ece,mean,0.122363314033,0.122363314033,0.000e+00,True
pre_stress,calibrated_field_ece,std,0.0252424008548,0.0252424008548,0.000e+00,True
pre_stress,calibrated_field_ece,median,0.128678418696,0.128678418696,0.000e+00,True
pre_stress,calibrated_field_ece,iqr,0.01513671875,0.01513671875,0.000e+00,True
pre_stress,history_coverage_95,mean,0.0390079375356,0.0390079375356,0.000e+00,True
pre_stress,history_coverage_95,std,0.0267012931398,0.0267012931398,0.000e+00,True
pre_stress,history_coverage_95,median,0.0289682550356,0.0289682550356,0.000e+00,True
pre_stress,history_coverage_95,iqr,0.0472222231328,0.0472222231328,0.000e+00,True
pre_stress,calibrated_history_coverage_95,mean,0.969999992847,0.969999992847,0.000e+00,True
pre_stress,calibrated_history_coverage_95,std,0.0273861344046,0.0273861344046,0.000e+00,True
pre_stress,calibrated_history_coverage_95,median,0.949999988079,0.949999988079,0.000e+00,True
pre_stress,calibrated_history_coverage_95,iqr,0.0500000119209,0.0500000119209,0.000e+00,True
pre_stress,material_parameter_coverage_95,mean,0.0500000014901,0.0500000014901,0.000e+00,True
pre_stress,material_parameter_coverage_95,std,0.0745356014713,0.0745356014713,0.000e+00,True
pre_stress,material_parameter_coverage_95,median,0,0,0.000e+00,True
pre_stress,material_parameter_coverage_95,iqr,0.0833333358169,0.0833333358169,0.000e+00,True
pre_stress,calibrated_material_parameter_coverage_95,mean,1,1,0.000e+00,True
pre_stress,calibrated_material_parameter_coverage_95,std,0,0,0.000e+00,True
pre_stress,calibrated_material_parameter_coverage_95,median,1,1,0.000e+00,True
pre_stress,calibrated_material_parameter_coverage_95,iqr,0,0,0.000e+00,True
pre_stress,field_crps,mean,0.0196652955376,0.0196652955376,0.000e+00,True
pre_stress,field_crps,std,0.00135870466354,0.00135870466354,2.168e-19,True
pre_stress,field_crps,median,0.0190292065963,0.0190292065963,0.000e+00,True
pre_stress,field_crps,iqr,0.00230364874005,0.00230364874005,0.000e+00,True
pre_stress,calibrated_field_crps,mean,0.0403788042255,0.0403788042255,0.000e+00,True
pre_stress,calibrated_field_crps,std,0.0193522437544,0.0193522437544,0.000e+00,True
pre_stress,calibrated_field_crps,median,0.0339323948137,0.0339323948137,0.000e+00,True
pre_stress,calibrated_field_crps,iqr,0.0216107815504,0.0216107815504,0.000e+00,True
random_amplitude,field_coverage_95,mean,0.00221354168607,0.00221354168607,0.000e+00,True
random_amplitude,field_coverage_95,std,0.00389538420611,0.00389538420611,0.000e+00,True
random_amplitude,field_coverage_95,median,0.000651041686069,0.000651041686069,0.000e+00,True
random_amplitude,field_coverage_95,iqr,0.00130208337214,0.00130208337214,0.000e+00,True
random_amplitude,calibrated_field_coverage_95,mean,0.95052087307,0.95052087307,0.000e+00,True
random_amplitude,calibrated_field_coverage_95,std,0,0,0.000e+00,True
random_amplitude,calibrated_field_coverage_95,median,0.95052087307,0.95052087307,0.000e+00,True
random_amplitude,calibrated_field_coverage_95,iqr,0,0,0.000e+00,True
random_amplitude,field_ece,mean,0.785514301062,0.785514301062,0.000e+00,True
random_amplitude,field_ece,std,0.00347255586548,0.00347255586548,4.337e-19,True
random_amplitude,field_ece,median,0.786848932505,0.786848932505,0.000e+00,True
random_amplitude,field_ece,iqr,0.00113928318024,0.00113928318024,0.000e+00,True
random_amplitude,calibrated_field_ece,mean,0.103613308072,0.103613308072,0.000e+00,True
random_amplitude,calibrated_field_ece,std,0.0333490093272,0.0333490093272,0.000e+00,True
random_amplitude,calibrated_field_ece,median,0.119238317013,0.119238317013,0.000e+00,True
random_amplitude,calibrated_field_ece,iqr,0.04345703125,0.04345703125,0.000e+00,True
random_amplitude,history_coverage_95,mean,0.054556449689,0.054556449689,0.000e+00,True
random_amplitude,history_coverage_95,std,0.039046229001,0.039046229001,0.000e+00,True
random_amplitude,history_coverage_95,median,0.0510080642998,0.0510080642998,0.000e+00,True
random_amplitude,history_coverage_95,iqr,0.0741935446858,0.0741935446858,0.000e+00,True
random_amplitude,calibrated_history_coverage_95,mean,0.969999992847,0.969999992847,0.000e+00,True
random_amplitude,calibrated_history_coverage_95,std,0.0273861344046,0.0273861344046,0.000e+00,True
random_amplitude,calibrated_history_coverage_95,median,0.949999988079,0.949999988079,0.000e+00,True
random_amplitude,calibrated_history_coverage_95,iqr,0.0500000119209,0.0500000119209,0.000e+00,True
