protocol,sparse_config,load_path,metric,stat,recomputed_from_seed_json,summary_json,abs_diff,rel_diff,pass
strict_path_ood,s2_t2,unload_reload,field_ece,median,0.733911156654,0.733911156654,0.000e+00,0.000e+00,True
strict_path_ood,s2_t2,unload_reload,field_ece,iqr,0.057088136673,0.057088136673,0.000e+00,0.000e+00,True
strict_path_ood,s2_t2,unload_reload,field_nll,mean,36775.8355469,36775.8355469,0.000e+00,0.000e+00,True
strict_path_ood,s2_t2,unload_reload,field_nll,std,12429.3362099,12429.3362099,1.819e-12,1.463e-16,True
strict_path_ood,s2_t2,unload_reload,field_nll,median,40499.3203125,40499.3203125,0.000e+00,0.000e+00,True
strict_path_ood,s2_t2,unload_reload,field_nll,iqr,16007.4550781,16007.4550781,0.000e+00,0.000e+00,True
strict_path_ood,s2_t2,unload_reload,field_crps,mean,0.019669323042,0.019669323042,0.000e+00,0.000e+00,True
strict_path_ood,s2_t2,unload_reload,field_crps,std,0.000611895663656,0.000611895663656,0.000e+00,0.000e+00,True
strict_path_ood,s2_t2,unload_reload,field_crps,median,0.0198434852064,0.0198434852064,0.000e+00,0.000e+00,True
strict_path_ood,s2_t2,unload_reload,field_crps,iqr,0.000909188762307,0.000909188762307,0.000e+00,0.000e+00,True
strict_path_ood,s2_t2,unload_reload,calibrated_field_coverage_95,mean,0.899218773842,0.899218773842,0.000e+00,0.000e+00,True
strict_path_ood,s2_t2,unload_reload,calibrated_field_coverage_95,std,0.111333030787,0.111333030787,0.000e+00,0.000e+00,True
strict_path_ood,s2_t2,unload_reload,calibrated_field_coverage_95,median,0.93977868557,0.93977868557,0.000e+00,0.000e+00,True
strict_path_ood,s2_t2,unload_reload,calibrated_field_coverage_95,iqr,0.0260416865349,0.0260416865349,0.000e+00,0.000e+00,True
strict_path_ood,s2_t2,unload_reload,calibrated_field_ece,mean,0.127672535181,0.127672535181,0.000e+00,0.000e+00,True
strict_path_ood,s2_t2,unload_reload,calibrated_field_ece,std,0.0337791893641,0.0337791893641,0.000e+00,0.000e+00,True
strict_path_ood,s2_t2,unload_reload,calibrated_field_ece,median,0.115901723504,0.115901723504,0.000e+00,0.000e+00,True
strict_path_ood,s2_t2,unload_reload,calibrated_field_ece,iqr,0.0475097298622,0.0475097298622,0.000e+00,0.000e+00,True
strict_path_ood,s2_t2,unload_reload,calibrated_field_nll,mean,-0.4403621912,-0.4403621912,0.000e+00,0.000e+00,True
strict_path_ood,s2_t2,unload_reload,calibrated_field_nll,std,0.33827257046,0.33827257046,0.000e+00,0.000e+00,True
strict_path_ood,s2_t2,unload_reload,calibrated_field_nll,median,-0.310652554035,-0.310652554035,0.000e+00,0.000e+00,True
strict_path_ood,s2_t2,unload_reload,calibrated_field_nll,iqr,0.186298638582,0.186298638582,0.000e+00,0.000e+00,True
strict_path_ood,s2_t2,unload_reload,calibrated_field_crps,mean,0.603535170108,0.603535170108,0.000e+00,0.000e+00,True
strict_path_ood,s2_t2,unload_reload,calibrated_field_crps,std,0.757904012974,0.757904012974,0.000e+00,0.000e+00,True
strict_path_ood,s2_t2,unload_reload,calibrated_field_crps,median,0.0890652984381,0.0890652984381,0.000e+00,0.000e+00,True
strict_path_ood,s2_t2,unload_reload,calibrated_field_crps,iqr,1.30148576573,1.30148576573,0.000e+00,0.000e+00,True
strict_path_ood,s2_t2,unload_reload,calibrated_field_spread_scale,mean,2664.10407715,2664.10407715,0.000e+00,0.000e+00,True
strict_path_ood,s2_t2,unload_reload,calibrated_field_spread_scale,std,1474.36888299,1474.36888299,0.000e+00,0.000e+00,True
strict_path_ood,s2_t2,unload_reload,calibrated_field_spread_scale,median,1690.8137207,1690.8137207,0.000e+00,0.000e+00,True
strict_path_ood,s2_t2,unload_reload,calibrated_field_spread_scale,iqr,2242.32348633,2242.32348633,0.000e+00,0.000e+00,True
strict_path_ood,s2_t2,unload_reload,posterior_calibration_num_calibration,mean,4,4,0.000e+00,0.000e+00,True
strict_path_ood,s2_t2,unload_reload,posterior_calibration_num_calibration,std,0,0,0.000e+00,0.000e+00,True
strict_path_ood,s2_t2,unload_reload,posterior_calibration_num_calibration,median,4,4,0.000e+00,0.000e+00,True
strict_path_ood,s2_t2,unload_reload,posterior_calibration_num_calibration,iqr,0,0,0.000e+00,0.000e+00,True
strict_path_ood,s2_t2,unload_reload,posterior_calibration_num_test,mean,4,4,0.000e+00,0.000e+00,True
strict_path_ood,s2_t2,unload_reload,posterior_calibration_num_test,std,0,0,0.000e+00,0.000e+00,True
